DBA,BORO,BUILDING,STREET,ZIPCODE,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE
GOLDEN WOK CHINESE RESTAURANT,MANHATTAN,209,8TH AVE,10011,"209 8TH AVE, MANHATTAN, NY 10011",Chinese,7/18/2016,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,7/18/2016
WESTVILLE,MANHATTAN,246,WEST   18 STREET,10011,"246 WEST   18 STREET, MANHATTAN, NY 10011",American,11/1/2017,Thawing procedures improper.,Not Critical,14,B,11/1/2017
EL PALACIO SEAFOOD MARKET,MANHATTAN,1049,SAINT NICHOLAS AVE,10032,"1049 SAINT NICHOLAS AVE, MANHATTAN, NY 10032",Seafood,6/13/2017,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,5,A,6/13/2017
LE PAIN QUOTIDIEN,MANHATTAN,85,BROAD ST,10004,"85 BROAD ST, MANHATTAN, NY 10004",American,1/27/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,1/27/2017
TASTI D-LITE,MANHATTAN,1221,3 AVENUE,10021,"1221 3 AVENUE, MANHATTAN, NY 10021","Ice Cream, Gelato, Yogurt, Ices",5/9/2018,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,26,B,5/9/2018
SAUCE PIZZERIA,MANHATTAN,345,E 12TH ST,10003,"345 E 12TH ST, MANHATTAN, NY 10003",Pizza,11/7/2018,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,9,A,11/7/2018
DUO TIAN BAKERY,MANHATTAN,118,ELDRIDGE STREET,10002,"118 ELDRIDGE STREET, MANHATTAN, NY 10002",Bakery,5/2/2016,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,5/2/2016
PICCOLA CUCINA,MANHATTAN,196,SPRING STREET,10012,"196 SPRING STREET, MANHATTAN, NY 10012",Italian,2/8/2017,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,12,A,2/8/2017
LOWER EAST SIDE PIZZA,MANHATTAN,181,EAST BROADWAY,10002,"181 EAST BROADWAY, MANHATTAN, NY 10002",Pizza,3/1/2019,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,A,3/1/2019
LABELLA FERRARA,MANHATTAN,108,MULBERRY STREET,10013,"108 MULBERRY STREET, MANHATTAN, NY 10013",Bakery,4/29/2016,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,4/29/2016
PEPE GIALLO,MANHATTAN,195,10TH AVE,10011,"195 10TH AVE, MANHATTAN, NY 10011",Italian,9/28/2017,Thawing procedures improper.,Not Critical,5,A,9/28/2017
DANIELA'S TRATTORIA,MANHATTAN,728,8 AVENUE,10036,"728 8 AVENUE, MANHATTAN, NY 10036",Italian,3/21/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,Z,3/21/2019
SUSHI HANA,MANHATTAN,111,RIVINGTON STREET,10002,"111 RIVINGTON STREET, MANHATTAN, NY 10002",Japanese,8/17/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,45,C,8/17/2017
ALTUS CAFE,MANHATTAN,4325,BROADWAY,10033,"4325 BROADWAY, MANHATTAN, NY 10033","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/13/2018,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,22,B,6/13/2018
MERRION ROW HOTEL & PUBLIC HOUSE,MANHATTAN,119,W 45TH ST,10036,"119 W 45TH ST, MANHATTAN, NY 10036",Irish,1/2/2019,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12,A,1/2/2019
HOP LEE RESTARANT,MANHATTAN,16,MOTT STREET,10013,"16 MOTT STREET, MANHATTAN, NY 10013",Chinese,9/28/2015,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,9/28/2015
RESIDENCE INN MANHATTAN MIDTOWN EAST,MANHATTAN,148,E 48TH ST,10017,"148 E 48TH ST, MANHATTAN, NY 10017",American,5/15/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,5/15/2017
CAFFE PALERMO,MANHATTAN,148,MULBERRY STREET,10013,"148 MULBERRY STREET, MANHATTAN, NY 10013",Italian,4/16/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,4/16/2018
Hong Man,MANHATTAN,27,ELDRIDGE ST,10002,"27 ELDRIDGE ST, MANHATTAN, NY 10002",Chinese,6/23/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,6/23/2017
LEX RESTAURANT,MANHATTAN,1370,LEXINGTON AVENUE,10128,"1370 LEXINGTON AVENUE, MANHATTAN, NY 10128",Italian,4/18/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,4/18/2017
KOTTU HOUSE,MANHATTAN,250,BROOME ST,10002,"250 BROOME ST, MANHATTAN, NY 10002",Asian,8/7/2017,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,8/7/2017
CAFE MADISON,MANHATTAN,51,MADISON AVENUE,10010,"51 MADISON AVENUE, MANHATTAN, NY 10010",CafÃ©/Coffee/Tea,12/5/2017,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,12/5/2017
MELT SHOP,MANHATTAN,111,FULTON ST,10038,"111 FULTON ST, MANHATTAN, NY 10038",Sandwiches/Salads/Mixed Buffet,3/7/2016,Toilet facility not provided for employees or for patrons when required.,Critical,13,A,3/7/2016
GUY & GALLARD,MANHATTAN,1001,6 AVENUE,10018,"1001 6 AVENUE, MANHATTAN, NY 10018",American,2/27/2019,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,2/27/2019
CHONG QING XIAO MIAN 2,MANHATTAN,82,2ND AVE,10003,"82 2ND AVE, MANHATTAN, NY 10003",Chinese,11/19/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,11/19/2018
DUNKIN' DONUTS,MANHATTAN,412,3 AVENUE,10016,"412 3 AVENUE, MANHATTAN, NY 10016",Donuts,3/6/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,3/6/2017
DB BISTRO MODERNE,MANHATTAN,55,WEST   44 STREET,10036,"55 WEST   44 STREET, MANHATTAN, NY 10036",French,6/13/2016,,Not Applicable,0,A,6/13/2016
C & B,MANHATTAN,178,E 7TH ST,10009,"178 E 7TH ST, MANHATTAN, NY 10009",CafÃ©/Coffee/Tea,2/20/2018,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,8,A,2/20/2018
BOIL BOIL ROOM,MANHATTAN,1000,8TH AVE,10019,"1000 8TH AVE, MANHATTAN, NY 10019",Asian,9/18/2018,Proper sanitization not provided for utensil ware washing operation.,Not Critical,10,A,9/18/2018
CRANBERRY CAFE,MANHATTAN,115,WEST   45 STREET,10036,"115 WEST   45 STREET, MANHATTAN, NY 10036",American,12/13/2017,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,12/13/2017
MANHATTAN MOVEMENT & ARTS CENTER,MANHATTAN,248,WEST   60 STREET,10023,"248 WEST   60 STREET, MANHATTAN, NY 10023",American,5/9/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,5/9/2018
SUZAN KITCHEN,MANHATTAN,323,EAST   79 STREET,10075,"323 EAST   79 STREET, MANHATTAN, NY 10075",Mediterranean,4/14/2015,Proper sanitization not provided for utensil ware washing operation.,Not Critical,9,A,4/14/2015
MOMOFUKU MILK BAR,MANHATTAN,251,EAST   13 STREET,10003,"251 EAST   13 STREET, MANHATTAN, NY 10003",CafÃ©/Coffee/Tea,4/27/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,4/27/2017
Stage 42,MANHATTAN,422,WEST   42 STREET,10036,"422 WEST   42 STREET, MANHATTAN, NY 10036",American,6/29/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,6/29/2016
COCO FRESH TEA & JUICE,MANHATTAN,459,LEXINGTON AVENUE,10017,"459 LEXINGTON AVENUE, MANHATTAN, NY 10017",CafÃ©/Coffee/Tea,9/13/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,9/13/2018
DIG INN,MANHATTAN,1319,1ST AVE,10021,"1319 1ST AVE, MANHATTAN, NY 10021",American,11/27/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8,A,11/27/2018
AMY'S BREAD (CAFE AT NEW YORK PUBLIC LIBRARY),MANHATTAN,476,5TH AVE,10018,"476 5TH AVE, MANHATTAN, NY 10018",CafÃ©/Coffee/Tea,1/30/2019,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,1/30/2019
CHICK-FIL-A AT GRAND CENTRAL,MANHATTAN,50,E 42ND ST,10017,"50 E 42ND ST, MANHATTAN, NY 10017",Sandwiches,4/30/2018,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,4/30/2018
GRILL FRESH TORTILLAS,MANHATTAN,573,2ND AVE,10016,"573 2ND AVE, MANHATTAN, NY 10016",Tex-Mex,6/12/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,6/12/2017
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,MANHATTAN,47,WEST   14 STREET,10011,"47 WEST   14 STREET, MANHATTAN, NY 10011",Caribbean,2/26/2019,Food contact surface not properly maintained.,Not Critical,2,Z,2/26/2019
ARGO TEA CAFE,MANHATTAN,75,UNIVERSITY PLACE,10003,"75 UNIVERSITY PLACE, MANHATTAN, NY 10003",CafÃ©/Coffee/Tea,7/23/2018,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,7/23/2018
THE KITCHEN SINK,MANHATTAN,88,2 AVENUE,10003,"88 2 AVENUE, MANHATTAN, NY 10003",American,4/11/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,4/11/2016
JUICY CUBE,MANHATTAN,674,LEXINGTON AVENUE,10022,"674 LEXINGTON AVENUE, MANHATTAN, NY 10022","Juice, Smoothies, Fruit Salads",12/21/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,12/21/2018
FRANCESCA LA VELA CUCINA,MANHATTAN,373,AMSTERDAM AVENUE,10024,"373 AMSTERDAM AVENUE, MANHATTAN, NY 10024",Italian,4/27/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,4/27/2017
LILLY O'BRIENS,MANHATTAN,18,MURRAY ST,10007,"18 MURRAY ST, MANHATTAN, NY 10007",American,8/5/2016,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,5,A,8/5/2016
12 CHAIRS,MANHATTAN,56,MACDOUGAL STREET,10012,"56 MACDOUGAL STREET, MANHATTAN, NY 10012",American,1/28/2019,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,24,Z,1/28/2019
MAHARAJA PALACE,MANHATTAN,2113,FREDERICK DOUGLASS BLVD,10026,"2113 FREDERICK DOUGLASS BLVD, MANHATTAN, NY 10026",Indian,11/19/2018,Live roaches present in facility's food and/or non-food areas.,Critical,18,B,11/19/2018
HERBS THAI BISTRO,MANHATTAN,251,EAST   45 STREET,10017,"251 EAST   45 STREET, MANHATTAN, NY 10017",Thai,9/25/2018,Live roaches present in facility's food and/or non-food areas.,Critical,39,C,9/25/2018
LE SINGE,MANHATTAN,160,7 AVENUE,10011,"160 7 AVENUE, MANHATTAN, NY 10011",French,12/13/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,24,B,12/13/2016
ELI'S ESSENTIALS,MANHATTAN,1390,3RD AVE,10075,"1390 3RD AVE, MANHATTAN, NY 10075",American,8/24/2016,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,55,C,8/24/2016
JEKYLL AND HYDE,MANHATTAN,91,7TH AVE S,10014,"91 7TH AVE S, MANHATTAN, NY 10014",American,12/16/2015,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,12/16/2015
PRET A MANGER,MANHATTAN,787,SEVENTH AVE,10019,"787 SEVENTH AVE, MANHATTAN, NY 10019",American,4/25/2018,Food contact surface not properly maintained.,Not Critical,13,A,4/25/2018
DIG INN,MANHATTAN,275,MADISON AVENUE,10016,"275 MADISON AVENUE, MANHATTAN, NY 10016",American,1/4/2017,Proper sanitization not provided for utensil ware washing operation.,Not Critical,10,A,1/4/2017
BAKERY ON 3RD CAFE,MANHATTAN,1885,3RD AVE,10029,"1885 3RD AVE, MANHATTAN, NY 10029",Bakery,4/26/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,B,4/26/2018
